txHash;EtherscanUrl;txType;creditAmount;creditAsset;debitAmount;debitAsset;Memo;creditAccount;debitAccount;txFeeAsset;txFeeAmount;txFeeAccount;dateTime;timestamp
0x39426e7c538419bf58721c7042fa37a24fe8b3ca9c835710dc739bee5ccaaa65;https://etherscan.io/tx/0x39426e7c538419bf58721c7042fa37a24fe8b3ca9c835710dc739bee5ccaaa65;Fee;0;;0;;Approved  yDAI+yUSDC+yUSDT+yTUSD For Trade On  Curve.fi: yCrv Gauge;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;Ether;0,0044906;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;2020-08-29T23:38:35Z;1598733515
0x869adfa5e2ccd0d7d4981c5f2687f777cfb9815d6bec4b7f0fbcb12ce241ab24;https://etherscan.io/tx/0x869adfa5e2ccd0d7d4981c5f2687f777cfb9815d6bec4b7f0fbcb12ce241ab24;Deposit;26,05977;Ether;26,05977;Ether;Deposit 26.05977 Ether From 0x2874ec5e322a6ee1358d74d9317183567ad28815;0x2874ec5e322a6ee1358d74d9317183567ad28815;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;0;;2020-08-30T19:21:58Z;1598804518
0x1d9e3c7963cf563d9ed501f987998e617c01fbcc9d8c3bfb3ac7bc8051887db7;https://etherscan.io/tx/0x1d9e3c7963cf563d9ed501f987998e617c01fbcc9d8c3bfb3ac7bc8051887db7;Deposit;159,24788674989918;UNI-V2;159,24788674989918;UNI-V2;Deposit 159.24788674989918 UNI-V2 From Zapper.Fi: Uniswap V2 Zap In;0x80c5e6908368cb9db503ba968d7ec5a565bfb389 (Zapper.Fi: Uniswap V2 Zap In);0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;Ether;0,09540816;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;2020-08-30T19:33:23Z;1598805203
0x1d9e3c7963cf563d9ed501f987998e617c01fbcc9d8c3bfb3ac7bc8051887db7;https://etherscan.io/tx/0x1d9e3c7963cf563d9ed501f987998e617c01fbcc9d8c3bfb3ac7bc8051887db7;Withdrawl;26;Ether;26;Ether;Withdrawal 26 Ether To Zapper.Fi: Uniswap V2 Zap In;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;0x80c5e6908368cb9db503ba968d7ec5a565bfb389 (Zapper.Fi: Uniswap V2 Zap In);;0;;2020-08-30T19:33:23Z;1598805203
0x1d9e3c7963cf563d9ed501f987998e617c01fbcc9d8c3bfb3ac7bc8051887db7;https://etherscan.io/tx/0x1d9e3c7963cf563d9ed501f987998e617c01fbcc9d8c3bfb3ac7bc8051887db7;Deposit;0,000002378518093263;Ether;0,000002378518093263;Ether;Deposit  0.000002378518093263 Ether From Zapper.Fi: Uniswap V2 Zap In;0x80c5e6908368cb9db503ba968d7ec5a565bfb389 (Zapper.Fi: Uniswap V2 Zap In);0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;0;;2020-08-30T19:33:23Z;1598805203
0x925ef3bc90cb651fa43c6354dcc503e6dbf7ee15ff7f6d3bb156104eeb9984e9;https://etherscan.io/tx/0x925ef3bc90cb651fa43c6354dcc503e6dbf7ee15ff7f6d3bb156104eeb9984e9;Fee;0;;0;;Loss on fail transaction;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;Ether;0,03484248;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;2020-08-30T19:37:37Z;1598805457
0xad1ff7bb2b79ccb8c6fc602fba520ad9d52f5e910752d99c7a69d80046f2600d;https://etherscan.io/tx/0xad1ff7bb2b79ccb8c6fc602fba520ad9d52f5e910752d99c7a69d80046f2600d;Fee;0;;0;;Loss on fail transaction;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;Ether;0,035858719;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;2020-08-30T19:43:07Z;1598805787
0xdcdaef506626e51fe9a60d978856d277638f36a9ea024af84a598b8d7e7701a9;https://etherscan.io/tx/0xdcdaef506626e51fe9a60d978856d277638f36a9ea024af84a598b8d7e7701a9;Deposit;0,11;Ether;0,11;Ether;Deposit 0.11 Ether From 0x21143a9e93c7359a24c8e29bf9cef35a65e3d59b;0x21143a9e93c7359a24c8e29bf9cef35a65e3d59b;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;0;;2020-08-30T20:30:40Z;1598808640
0x9970374a1ed4e2f4b97e0a5d9532cdb53572326f3724df3a1e1d03b8cc485121;https://etherscan.io/tx/0x9970374a1ed4e2f4b97e0a5d9532cdb53572326f3724df3a1e1d03b8cc485121;Fee;0;;0;;Loss on fail transaction;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;Ether;0,03774602;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;2020-08-30T20:42:54Z;1598809374
0x2f7dcaf90c1edb0d694629e2a0dc58dc6096b30517a5b842288e564d1619b102;https://etherscan.io/tx/0x2f7dcaf90c1edb0d694629e2a0dc58dc6096b30517a5b842288e564d1619b102;Fee;0;;0;;Loss on fail transaction;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;;Ether;0,018437479;0x915f68fdfe1970fc94daa5d1c0dcc89ab6f9f085;2020-08-30T21:52:06Z;1598813526
